====iter_25700: fit=0.5417, reg=0.7065, thom=-6.9291, thomf=-7.0243, acc=0.8594
====iter_25800: fit=0.5522, reg=0.7029, thom=-6.9292, thomf=-7.0243, acc=0.8125
====iter_25900: fit=0.4445, reg=0.6993, thom=-6.9293, thomf=-7.0244, acc=0.8438
====iter_26000: fit=0.6282, reg=0.6956, thom=-6.9293, thomf=-7.0245, acc=0.8438
====iter_26100: fit=0.4983, reg=0.6920, thom=-6.9294, thomf=-7.0246, acc=0.8828
====iter_26200: fit=0.4473, reg=0.6885, thom=-6.9295, thomf=-7.0246, acc=0.9141
====iter_26300: fit=0.4059, reg=0.6851, thom=-6.9296, thomf=-7.0247, acc=0.9297
====iter_26400: fit=0.4248, reg=0.6817, thom=-6.9297, thomf=-7.0248, acc=0.8984
====iter_26500: fit=0.3932, reg=0.6783, thom=-6.9297, thomf=-7.0248, acc=0.9141
====iter_26600: fit=0.4375, reg=0.6750, thom=-6.9298, thomf=-7.0248, acc=0.8594
====iter_26700: fit=0.4245, reg=0.6719, thom=-6.9299, thomf=-7.0249, acc=0.8828
====iter_26800: fit=0.4242, reg=0.6688, thom=-6.9299, thomf=-7.0250, acc=0.8984
====iter_26900: fit=0.5175, reg=0.6657, thom=-6.9300, thomf=-7.0250, acc=0.8828
====iter_27000: fit=0.3018, reg=0.6626, thom=-6.9301, thomf=-7.0251, acc=0.9141
====iter_27100: fit=0.3592, reg=0.6596, thom=-6.9302, thomf=-7.0251, acc=0.9453
====iter_27200: fit=0.4787, reg=0.6567, thom=-6.9303, thomf=-7.0251, acc=0.8594
====iter_27300: fit=0.4545, reg=0.6538, thom=-6.9303, thomf=-7.0252, acc=0.8750
====iter_27400: fit=0.5454, reg=0.6511, thom=-6.9304, thomf=-7.0252, acc=0.8594
====iter_27500: fit=0.3954, reg=0.6484, thom=-6.9304, thomf=-7.0253, acc=0.8594
====iter_27600: fit=0.4132, reg=0.6456, thom=-6.9305, thomf=-7.0253, acc=0.8672
